id,gender ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,result,,,,,,,,,,,,,,
1,M,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
2,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
3,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
4,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
5,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
6,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
7,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
8,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
9,M,1,0,0,1,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
10,F,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
11,F,1,1,1,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
12,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
13,M,1,1,0,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
14,F,0,0,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
15,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
16,F,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
17,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
18,F,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
19,M,0,1,1,1,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
20,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
21,M,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
22,F,0,0,1,0,1,0,0,1,1,0,0,1,1,,,,,,,,,,,,,,
23,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
24,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
25,F,0,1,1,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
26,F,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
27,F,0,0,1,1,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
28,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
29,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
30,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
31,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
32,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
33,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
34,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
35,F,0,1,1,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
36,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
37,F,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
